date,risk,leadership,vix,gap_pct,range_5m,open_type,oar,oos,bias,actual,correct
2026-07-02,-0.540225319506514,-0.680432317942545,5,,,,5,-0.6103288187245295,DOWN,,
2026-07-02,-0.5356040864206931,-0.6897691675139137,5,,,,5,-0.6126866269673035,DOWN,,
2026-07-02,-0.7303810862576569,-0.9246654500753776,5,,,,5,-0.8275232681665172,DOWN,DOWN,1.0
2026-07-02,-0.6847917415596346,-0.9243680136128744,5,,,,5,-0.8045798775862545,DOWN,DOWN,1.0
2026-07-02,-0.7386388266866043,-0.919100408157667,5,0.47878990282860834,0.35973056050755037,NEUTRAL OPEN,5,-0.8288696174221357,DOWN,DOWN,1
2026-07-02,-0.706265367392252,-0.9151875092895306,5,0.46388727179616257,0.35973056050755037,NEUTRAL OPEN,5,-0.8107264383408913,DOWN,DOWN,1
2026-07-02,-0.7285998620559911,-0.950178468900382,5,0.47133803469605023,0.35973056050755037,NEUTRAL OPEN,5,-0.8393891654781866,DOWN,DOWN,1
2026-07-02,-0.6922985877340658,-0.9781424769879618,5,0.4557596754492045,0.35973056050755037,NEUTRAL OPEN,5,-0.8352205323610138,DOWN,DOWN,1
2026-07-02,-0.6690008673315045,-0.9543296624504582,5,0.4246174452691068,0.35973056050755037,NEUTRAL OPEN,5,-0.8116652648909815,DOWN,DOWN,1
2026-07-02,-0.827979399933852,-1.1824910650130707,5,0.5649180355151834,0.35973056050755037,TREND OPEN,5,-1.0052352324734612,DOWN,DOWN,1
2026-07-02,-0.9578472622268409,-1.2947120720954035,5,0.6641099172961431,0.35973056050755037,TREND OPEN,5,-1.1262796671611222,DOWN,DOWN,1
2026-07-02,-0.8961532410481393,-1.2676990913204933,5,0.610417519780706,0.35973056050755037,TREND OPEN,5,-1.0819261661843163,DOWN,DOWN,1
2026-07-02,-0.8849972334260388,-1.2596532535313867,5,0.6063375477930546,0.35973056050755037,TREND OPEN,5,-1.0723252434787127,DOWN,DOWN,1
2026-07-02,-0.890471653152111,-1.2416211392789869,5,0.6022661983134107,0.35973056050755037,TREND OPEN,5,-1.0660463962155489,DOWN,DOWN,1
2026-07-02,-0.6674067636174535,-0.9966297471339667,5,0.4070217001464226,0.35973056050755037,NEUTRAL OPEN,5,-0.8320182553757101,DOWN,DOWN,1
2026-07-02,-0.65396722869536,-0.9989540809495681,5,0.37996272495190536,0.35973056050755037,NEUTRAL OPEN,5,-0.826460654822464,DOWN,DOWN,1
2026-07-02,-0.6477966480363905,-0.9979766128724453,5,0.37996272495190536,0.35973056050755037,NEUTRAL OPEN,5,-0.8228866304544179,DOWN,DOWN,1
2026-07-02,-0.6066279559294532,-0.9203888911109912,5,0.341426606350405,0.35973056050755037,NEUTRAL OPEN,5,-0.7635084235202222,DOWN,DOWN,1
2026-07-02,-0.6050533301227211,-0.9682507400333347,5,0.31913538391994906,0.35973056050755037,NEUTRAL OPEN,5,-0.786652035078028,DOWN,DOWN,1
2026-07-02,-0.7010739137283396,-1.159434921815413,5,0.3786089208087374,0.35973056050755037,NEUTRAL OPEN,5,-0.9302544177718763,DOWN,DOWN,1
2026-07-02,-0.719894191599099,-1.1914104753659842,5,0.3786089208087374,0.35973056050755037,NEUTRAL OPEN,5,-0.9556523334825415,DOWN,DOWN,1
